,cc,coh,coh_freq,exp_n,musician,riot_type,factor1,factor2
68,0.049721384844639456,0.742968123159814,2.63671875,6,Drum,head,same,Yes
69,0.21411630016943023,0.9963420986381901,1.26953125,6,Drum,leg,same,Yes
70,0.04621400522193823,0.7238055366357746,4.1015625,6,Clarinet,head,same,Yes
71,0.21175592419632416,0.9749375110742402,1.3671875,6,Clarinet,leg,same,Yes
72,0.03724318504427427,0.6309333054043319,35.7421875,7,Sax,head,high,Yes
73,0.11409796677473948,0.859682303479347,1.46484375,7,Sax,leg,high,Yes
74,0.11337827703982188,0.7499907739238332,12.890625,7,Accordion,head,high,Yes
75,0.19438176287214226,0.9734018850076318,2.5390625,7,Accordion,leg,high,Yes
76,0.044920447465255746,0.6573871483018113,21.38671875,7,Cello,head,high,Yes
77,0.03848497967256072,0.8220942198390632,45.3125,7,Cello,leg,high,Yes
78,0.02901207225524334,0.6905786415828009,32.8125,7,Piano,head,high,Yes
79,0.021930573141670105,0.6894622798194063,3.3203125,7,Piano,leg,high,Yes
80,0.14791877066034914,0.9570091766688195,1.171875,7,Drum,head,high,Yes
81,0.18325022501898347,0.9395182114810626,2.34375,7,Drum,leg,high,Yes
82,0.028654533512905957,0.7743491213333564,3.22265625,7,Clarinet,head,high,Yes
83,0.024733293926919534,0.7286201304713202,19.23828125,7,Clarinet,leg,high,Yes
84,0.056105378972950135,0.7256670223936582,4.1015625,8,Sax,head,close,No
85,0.13821335131168797,0.888706490403676,1.3671875,8,Sax,leg,close,No
86,0.03749723899399566,0.6595607741635514,35.546875,8,Accordion,head,close,No
87,0.11607922318499563,0.808710828182305,7.03125,8,Accordion,leg,close,No
88,0.06765336914037111,0.8820603639976031,2.9296875,8,Cello,head,close,No
89,0.05342805128235138,0.716074424823976,33.203125,8,Cello,leg,close,No
90,0.0273613386795522,0.7710244764492707,22.0703125,8,Piano,head,close,No
91,0.03936250972730986,0.6026872680462567,26.07421875,8,Piano,leg,close,No
92,0.13720938575195898,0.8975549028400662,1.171875,8,Drum,head,close,No
93,0.1904100364381,0.9324465175112695,1.07421875,8,Drum,leg,close,No
94,0.0377461182073634,0.8468694952812094,49.51171875,8,Clarinet,head,close,No
95,0.14237405892003283,0.905989467921864,1.46484375,8,Clarinet,leg,close,No
96,0.11816090083577446,0.9409824862830063,1.3671875,9,Sax,head,same,Yes
97,0.18716418188045666,0.9801873585265771,1.3671875,9,Sax,leg,same,Yes
98,0.07972856821433667,0.6743584925938082,2.63671875,9,Accordion,head,same,Yes
99,0.13574653906246223,0.9261178147874045,1.3671875,9,Accordion,leg,same,Yes
100,0.1281344425821053,0.9297482248851434,2.63671875,9,Cello,head,same,Yes
101,0.16123120097172985,0.9574483939073001,4.00390625,9,Cello,leg,same,Yes
102,0.07751023537859346,0.711641163077872,28.7109375,9,Piano,head,same,Yes
103,0.05077823209737183,0.7529541578001417,41.30859375,9,Piano,leg,same,Yes
104,0.04085323888377781,0.8140701737983543,2.63671875,9,Drum,head,same,Yes
105,0.05017400847610717,0.6694314696585179,0.5859375,9,Drum,leg,same,Yes
106,0.03430609704987503,0.7405984038889865,44.53125,9,Clarinet,head,same,Yes
107,0.14427422218573618,0.9339133861226095,1.3671875,9,Clarinet,leg,same,Yes
108,0.03771878867759212,0.6859375652497486,25.1953125,10,Sax,head,low,Yes
109,0.04177228717915328,0.7696508809571223,28.41796875,10,Sax,leg,low,Yes
110,0.0252850651877432,0.6892466134470573,6.0546875,10,Accordion,head,low,Yes
111,0.011801657490442874,0.655783929912101,23.53515625,10,Accordion,leg,low,Yes
112,0.03222400999879318,0.6381488369607826,17.7734375,10,Cello,head,low,Yes
113,0.03509358286019295,0.7414521556782523,3.7109375,10,Cello,leg,low,Yes
114,0.04473021613120169,0.6197015609444831,30.37109375,10,Piano,head,low,Yes
115,0.024163934868942676,0.6352459268788037,45.99609375,10,Piano,leg,low,Yes
116,0.017875463869817535,0.7749408100967194,10.15625,10,Drum,head,low,Yes
117,0.007792673133365971,0.7390491253629938,43.75,10,Drum,leg,low,Yes
118,0.037892214197717516,0.6093239850419759,27.9296875,10,Clarinet,head,low,Yes
119,0.017130483181403554,0.7756399570443555,21.38671875,10,Clarinet,leg,low,Yes
120,0.0485585664325172,0.6564061322000976,0.87890625,11,Sax,head,low,No
121,0.08107713428414821,0.7478047448513709,0.78125,11,Sax,leg,low,No
122,0.062466793437676874,0.8100159509288403,2.44140625,11,Accordion,head,low,No
123,0.13719042405020979,0.8684263986370245,1.26953125,11,Accordion,leg,low,No
124,0.06386924216517527,0.8427251835311597,4.1015625,11,Cello,head,low,No
125,0.11189585966988898,0.6667927956785444,2.05078125,11,Cello,leg,low,No
126,0.06407202480421358,0.7689271134453666,4.1015625,11,Piano,head,low,No
127,0.03206878090226853,0.5670363833076384,1.85546875,11,Piano,leg,low,No
128,0.04539541900000561,0.6564510194630305,12.6953125,11,Drum,head,low,No
129,0.014462360334430288,0.5918008852904462,21.2890625,11,Drum,leg,low,No
130,0.03252340840288381,0.6406739562610297,42.87109375,11,Clarinet,head,low,No
131,0.0739229959801566,0.7011726049570878,0.5859375,11,Clarinet,leg,low,No
132,0.01581226814460906,0.5770992362889454,34.08203125,12,Sax,head,high,Yes
133,0.020711686104561738,0.6410289519424173,8.30078125,12,Sax,leg,high,Yes
134,0.047567574050567586,0.6829592128921688,20.60546875,12,Accordion,head,high,Yes
135,0.03896025327898988,0.877395736665131,1.66015625,12,Accordion,leg,high,Yes
136,0.032913154199947905,0.7401266754931983,26.46484375,12,Cello,head,high,Yes
137,0.08514158979778767,0.6462672839058918,28.90625,12,Cello,leg,high,Yes
138,0.13369448873575754,0.9149621031567639,1.171875,12,Piano,head,high,Yes
139,0.05355590750604267,0.723085797592937,3.125,12,Piano,leg,high,Yes
140,0.029729664586401645,0.6783142512366083,12.890625,12,Drum,head,high,Yes
141,0.014902522558708239,0.6443277116470636,28.80859375,12,Drum,leg,high,Yes
142,0.04552574524247377,0.6693012464657794,22.36328125,12,Clarinet,head,high,Yes
143,0.02154027081194511,0.7808849845655054,14.35546875,12,Clarinet,leg,high,Yes
144,0.0703246229809301,0.748313722951015,2.83203125,13,Sax,head,close,No
145,0.17533890005642588,0.9371907879407672,2.734375,13,Sax,leg,close,No
146,0.0824467550657582,0.9348116011445954,2.83203125,13,Accordion,head,close,No
147,0.20790325633852796,0.9735514039523333,1.46484375,13,Accordion,leg,close,No
148,0.11527761474361556,0.9431803655729116,2.83203125,13,Cello,head,close,No
149,0.07683490390235272,0.7609782729331309,24.51171875,13,Cello,leg,close,No
