,cc,coh,coh_freq,exp_n,musician,riot_type,factor1,factor2
88,0.10713605878290253,0.6174195402738379,29.4921875,8,Cello,head,high,Yes
89,0.03424674485465567,0.4536672786792762,3.515625,8,Cello,arm,high,Yes
90,0.03701701161568099,0.568202507157125,1.46484375,8,Piano,head,high,Yes
91,0.034209456770834965,0.5289202596738277,47.65625,8,Piano,arm,high,Yes
92,0.028256082206004892,0.40812660357122127,23.6328125,8,Drum,head,high,Yes
93,0.0004891074660388643,0.8939713391973878,0.1953125,8,Drum,arm,high,Yes
94,,,0.0,8,Clarinet,head,high,Yes
95,,,0.0,8,Clarinet,arm,high,Yes
96,0.0433421965254823,0.6048289321014687,13.671875,9,Sax,head,high,No
97,0.029283650719936313,0.6865482309546571,20.8984375,9,Sax,arm,high,No
98,0.10407795083495956,0.8758368536649527,1.3671875,9,Accordion,head,high,No
99,0.04311492638395656,0.5994714209340324,12.20703125,9,Accordion,arm,high,No
100,0.06578565182452374,0.5386074219875304,36.81640625,9,Cello,head,high,No
101,0.0208345989049359,0.47977830147706796,26.171875,9,Cello,arm,high,No
102,,,0.0,9,Piano,head,high,No
103,,,0.0,9,Piano,arm,high,No
104,0.1427690474927016,0.9339115409946765,3.02734375,9,Drum,head,high,No
105,0.0,0.9838035200947883,0.1953125,9,Drum,arm,high,No
106,0.03956158965324445,0.790452496408026,2.5390625,9,Clarinet,head,high,No
107,0.028251418544750537,0.6036261292448013,42.578125,9,Clarinet,arm,high,No
108,0.12454199473844903,0.8784420577206431,4.00390625,10,Sax,head,low,No
109,0.0494958360477769,0.523063674075348,4.00390625,10,Sax,arm,low,No
110,0.1302534146696078,0.805724396823527,1.953125,10,Accordion,head,low,No
111,0.12033727152835774,0.7754782237274864,1.953125,10,Accordion,arm,low,No
112,0.056365165321685076,0.5530454727892433,1.26953125,10,Cello,head,low,No
113,0.20895819034660856,0.9931470551482982,0.68359375,10,Cello,arm,low,No
114,0.048551591010676964,0.5686216581247686,1.26953125,10,Piano,head,low,No
115,0.028898928138753766,0.4919832941900194,36.1328125,10,Piano,arm,low,No
116,0.00037194671654511714,0.6065803939249432,30.76171875,10,Drum,head,low,No
117,0.0003325284107636457,0.8975096485002886,0.0,10,Drum,arm,low,No
118,0.10135400265782454,0.8207254568324401,0.9765625,10,Clarinet,head,low,No
119,0.12465315211176549,0.9455042223725165,0.9765625,10,Clarinet,arm,low,No
120,0.051151643838205495,0.5872736428986745,2.83203125,11,Sax,head,high,No
121,0.04101232376581824,0.6227752156884894,49.21875,11,Sax,arm,high,No
122,0.05746175286198144,0.7004144958569231,4.6875,11,Accordion,head,high,No
123,0.15807053336509858,0.921815887304712,1.171875,11,Accordion,arm,high,No
124,0.07722164608873466,0.7075941242097157,3.02734375,11,Cello,head,high,No
125,0.019312515534748796,0.6738370778519271,21.77734375,11,Cello,arm,high,No
126,0.08158001062019468,0.6284615595640649,3.02734375,11,Piano,head,high,No
127,0.03026135133217505,0.5519805215724044,27.5390625,11,Piano,arm,high,No
