,cc,coh,coh_freq,mean_motion,std_motion,mean_tempo,mean_tempo_dev,std_tempo_dev,ci68-min_dev,ci68-max_dev,dphase_cc,dphase,exp_n,musician,riot_type,factor1,factor2
117,0.07175623784437656,0.160915632647873,6.640625,0.0731008740868271,0.008679567385122912,1.5472447368421052,-2.368421052623722e-05,0.07283120773366775,-0.011385549190737365,0.011338180769684892,0.11417560606984999,-16,10,Sax,head,low,Yes
118,0.25686480718012716,0.6517202932738887,2.1484375,0.19030302205752894,0.1309762661263546,0.4870752840909091,-0.0008752840909091251,0.012620122820322138,-0.001790094627677204,3.952644585895361e-05,0.6263393129342837,-9,11,Cello,leg,low,No
119,-0.0023419795136243792,0.7684170131585856,4.1015625,0.13812309777527856,0.02291483924416249,0.4870752840909091,-0.0008752840909091251,0.012620122820322138,-0.001790094627677204,3.952644585895361e-05,0.24947213294627363,-10,11,Cello,head,low,No
120,0.045534080628393654,0.2403157865707773,0.9765625,0.05463587959786777,0.008086032209174693,0.3851646017699115,0.0015371681415928767,0.026921136816391526,-0.00018495057226480707,0.0032592868554505603,0.07574730610093343,5,11,Drum,leg,low,No
121,0.1892876083990401,0.4773547721875689,2.734375,0.08246288498851163,0.01208543152404095,0.3851646017699115,0.0015371681415928767,0.026921136816391526,-0.00018495057226480707,0.0032592868554505603,0.22191549584356918,3,11,Drum,head,low,No
122,-0.04310326515500184,0.2485296287033912,5.859375,0.11039774308320191,0.01202196112639535,0.24447615095628417,0.0008216632513661117,0.022640297172363058,-0.0003163976176708425,0.001959724120403066,0.0312584086407338,-9,11,Piano,leg,low,No
123,0.16716404627713063,0.6563258669764569,4.1015625,0.05307270833482257,0.007358264417917298,0.24447615095628417,0.0008216632513661117,0.022640297172363058,-0.0003163976176708425,0.001959724120403066,0.2177649673181062,-3,11,Piano,head,low,No
124,0.7631429225041853,0.8183470489701573,1.171875,0.17735364862937658,0.051038102360579575,0.7967030612244898,0.00383775510204082,0.028074950112571773,0.001110474233962419,0.0065650359701192205,0.7698147794763608,1,11,Accordion,leg,low,No
125,0.045695205424914814,0.6332297486533871,2.34375,0.09531227339602731,0.013085482397212873,0.7967030612244898,0.00383775510204082,0.028074950112571773,0.001110474233962419,0.0065650359701192205,0.19740122376048463,-29,11,Accordion,head,low,No
126,0.3478756732983051,0.5754034883195474,0.5859375,0.06088666018125009,0.008251367963274492,1.6200723684210525,0.009359210526315866,0.08859065563550172,-0.00446117086183527,0.023179591914467,0.34927598868051274,5,11,Clarinet,leg,low,No
127,-0.007455341125068216,0.27905422565986365,8.0078125,0.05146587521795322,0.0049802078394584025,1.6200723684210525,0.009359210526315866,0.08859065563550172,-0.00446117086183527,0.023179591914467,0.05732857592605656,43,11,Clarinet,head,low,No
128,-0.26211327017440167,0.46609384400356546,0.9765625,0.06004384727762275,0.009758467894799729,1.0731321428571428,0.007365000000000079,0.0697271313692133,-0.0006495047175517797,0.015379504717551937,0.38016897258426313,-46,11,Sax,leg,low,No
129,0.09607215249594514,0.33666762447057097,8.3984375,0.06056839994831591,0.0069837496385062444,1.0731321428571428,0.007365000000000079,0.0697271313692133,-0.0006495047175517797,0.015379504717551937,0.19163088842291665,15,11,Sax,head,low,No
130,0.35078511576245214,0.36788467453089185,0.5859375,0.04931299346859414,0.038425057183486655,1.4292297619047616,-0.0031964285714283437,0.042899198941719424,-0.009562161997824113,0.003169304854967425,0.38488801855719357,-9,12,Cello,leg,high,Yes
131,0.10509131608880332,0.1983072432460504,2.1484375,0.07892471352162474,0.023516996493787305,1.4292297619047616,-0.0031964285714283437,0.042899198941719424,-0.009562161997824113,0.003169304854967425,0.12899505588217752,-6,12,Cello,head,high,Yes
132,0.12643836524653393,0.18586535660726297,6.8359375,0.04831463251058408,0.06483724660433944,0.3899011904761905,-6.119047619047368e-05,0.012719775379867466,-0.0009052900972253837,0.0007829091448444363,0.18257307593829075,-7,12,Drum,leg,high,Yes
133,0.06767996336882717,0.3908149487372363,3.3203125,0.06500432629494685,0.01759885386091523,0.3899011904761905,-6.119047619047368e-05,0.012719775379867466,-0.0009052900972253837,0.0007829091448444363,0.0721243730338089,3,12,Drum,head,high,Yes
134,0.12296650337670263,0.49388237872379404,1.171875,0.09866097319676345,0.011428657563081202,0.8561939024390244,-0.0010670731707317386,0.02609802370230323,-0.003838635217555496,0.001704488876092019,0.2911328183707817,-15,12,Piano,leg,high,Yes
135,0.08334998445639395,0.8348346074384763,1.171875,0.05002629440515748,0.006389334803070635,0.8561939024390244,-0.0010670731707317386,0.02609802370230323,-0.003838635217555496,0.001704488876092019,0.5684433635075451,-19,12,Piano,head,high,Yes
136,-0.4638099176209343,0.74962049596091,1.7578125,0.08539885906540762,0.04662944729345255,0.6115399193548389,-0.00042540322580666707,0.023486762550178408,-0.002453722067959931,0.0016029156163465965,0.48637193810421264,26,12,Accordion,leg,high,Yes
137,-0.1500223790281903,0.3768467916183622,1.7578125,0.10111238471633928,0.020800379243340838,0.6115399193548389,-0.00042540322580666707,0.023486762550178408,-0.002453722067959931,0.0016029156163465965,0.3545342502259123,-21,12,Accordion,head,high,Yes
138,-0.03128854164468054,0.4491438986950712,4.296875,0.06280306887683389,0.012750932355125729,0.3346484126984127,0.0004642857142856878,0.038086374233344746,-0.0018429569326245294,0.0027715283611959053,0.030335577017712487,-16,12,Clarinet,leg,high,Yes
